"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"74","RT @celtics: End of Q1: Celtics 24, Bucks 22.

Terry Rozier leads all scorers with 11 points (3-of-4 from deep) and has also grabbed 3 boar…",FALSE,0,NA,2018-04-27 02:01:08,FALSE,NA,"989685847619506176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",106,TRUE,FALSE,NA,NA
"75","@ElReyApostador @celtics @Bucks Está muy cabrón si solo fallan y fallan. Espero se haga el milagro.",FALSE,0,"ElReyApostador",2018-04-27 02:01:08,FALSE,"989622578091253761","989685847439167488","896263154128142336","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jgestradag",0,FALSE,FALSE,NA,NA
"76","In other news I'm walking to Popeyes to get precisely one (1) piece of spicy chicken and one (1) biscuit if the Celtics lose",FALSE,0,"MollyOtto",2018-04-27 02:01:08,FALSE,"989680812193820674","989685846830796800","142116965","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MollyOtto",0,FALSE,FALSE,NA,NA
"77","RT @celtics: Marcus Morris... Too smooth. https://t.co/4GJRfyFhzo",FALSE,0,NA,2018-04-27 02:01:06,FALSE,NA,"989685841680355336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tsuneyy",74,TRUE,FALSE,NA,NA
"78","@da1inkw3nt @celtics can u u imagine this trash team playing 6ers?? lol",FALSE,0,"da1inkw3nt",2018-04-27 02:01:06,FALSE,"989683524860071937","989685839985864704","489973529","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Samjenk89496248",0,FALSE,FALSE,NA,NA
"79","Sabi ni Coco end nyo na dw bucks gusto dw nya magtapat Cavs-Celtics sa confernce
Btw Im a Solid Lebron Fan <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>… https://t.co/5modPMFTOY",FALSE,0,NA,2018-04-27 02:01:05,TRUE,NA,"989685836974194688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mikoydayao",0,FALSE,FALSE,NA,NA
"80","RT @celtics: What a look by Tatum! <ed><U+00A0><U+00BD><ed><U+00B1><U+0080> https://t.co/l9aH98i82N",FALSE,0,NA,2018-04-27 02:01:05,FALSE,NA,"989685836554948608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mamacitachik",77,TRUE,FALSE,NA,NA
"81","12 minutes to work the #celtics magic @NBCSCeltics",FALSE,0,NA,2018-04-27 02:01:04,FALSE,NA,"989685831882375168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelasearles94",0,FALSE,FALSE,NA,NA
"82","NBA CELTICS IS FIGHT https://t.co/VXObzhpU0G",FALSE,0,NA,2018-04-27 02:01:04,FALSE,NA,"989685831072968705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cco_11",0,FALSE,FALSE,NA,NA
"83","RT @isjanosnba: Is time for FULL PERFORM NBA #CELTICS",FALSE,0,NA,2018-04-27 02:01:04,FALSE,NA,"989685831014199298",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bryanpaulmartin",22,TRUE,FALSE,NA,NA
